iter	RMSE
579	54169.81039
580	54169.43922
581	54168.48827
582	54168.1297
583	54167.30046
584	54167.18068
585	54166.9571
586	54166.83586
587	54166.49519
588	54166.019
589	54165.26427
590	54164.69908
591	54164.13166
592	54164.14586
593	54163.96716
594	54163.77741
595	54163.04871
596	54162.37605
597	54162.21344
598	54161.98624
599	54161.79928
600	54161.44683
601	54161.19332
602	54160.60606
603	54160.42872
604	54159.7001
605	54159.62518
606	54158.98062
607	54158.34786
608	54157.76692
609	54157.40055
610	54157.11875
611	54157.01208
612	54156.79293
613	54156.14915
614	54155.94392
615	54155.90232
616	54155.59742
617	54155.27428
618	54155.04607
619	54154.66425
620	54153.89947
621	54153.72283
622	54153.56288
623	54153.45171
624	54152.94943
625	54152.63852
626	54152.63446
627	54152.12635
628	54151.64579
629	54151.47656
630	54151.32537
631	54150.81127
632	54149.80114
633	54149.53132
634	54149.40337
635	54148.69051
636	54148.37168
637	54147.47046
638	54146.73294
639	54146.60604
640	54146.39256
641	54145.69334
642	54145.55271
643	54144.75971
644	54143.86636
645	54143.39429
646	54143.29379
647	54143.119
648	54142.98147
649	54142.85842
650	54142.70581
651	54142.51329
652	54141.84955
653	54141.26776
654	54140.35928
655	54139.81639
656	54139.12916
657	54138.44817
658	54137.85565
659	54137.4576
660	54136.90607
661	54136.67284
662	54136.39285
663	54135.74342
664	54135.41688
665	54134.9048
666	54134.34402
667	54134.16071
668	54133.91111
669	54133.27219
670	54132.32261
671	54131.7004
672	54131.01208
673	54130.98161
674	54130.3782
675	54129.91597
676	54129.33126
677	54129.0581
678	54128.72896
679	54128.20286
680	54127.92692
681	54127.84265
682	54127.34881
683	54127.14535
684	54126.67948
685	54126.20823
686	54125.43953
687	54124.90011
688	54124.85572
689	54124.03308
690	54123.28767
691	54122.69759
692	54122.39912
693	54121.83138
694	54121.16816
695	54120.97745
696	54120.81517
697	54120.05815
698	54119.54867
699	54119.39257
700	54118.89856
701	54118.19112
702	54117.76571
703	54117.2656
704	54117.08361
705	54116.83108
706	54116.20137
707	54115.97308
708	54115.83648
709	54115.10959
710	54114.57174
711	54113.78273
712	54113.20131
713	54113.07924
714	54112.72281
715	54112.00777
716	54111.87105
717	54111.83405
718	54111.75549
719	54111.55371
720	54111.37725
721	54110.71324
722	54110.02407
723	54109.3509
724	54108.90947
725	54108.32378
726	54108.03968
727	54107.53058
728	54107.07438
729	54106.19834
730	54105.57441
731	54105.16672
732	54105.11529
733	54104.40774
734	54103.79459
735	54103.61493
736	54103.42111
737	54103.1898
738	54102.49507
739	54101.67558
740	54101.2271
741	54100.86527
742	54100.66916
743	54100.43372
744	54099.71824
745	54099.43654
746	54099.14106
747	54098.68877
748	54098.14305
749	54097.68524
750	54097.59611
751	54097.07086
752	54096.41446
753	54096.32191
754	54096.13491
755	54095.69616
756	54095.57178
757	54095.38367
758	54094.9267
759	54094.22736
760	54094.09151
761	54093.94364
762	54093.49139
763	54093.42217
764	54092.87149
765	54092.66756
766	54092.22634
767	54091.79184
768	54091.7888
769	54091.61119
770	54091.44616
771	54091.19875
772	54090.50209
773	54089.74779
774	54089.24415
775	54089.25552
776	54088.62588
777	54088.34012
778	54087.74256
779	54087.71492
780	54086.92362
781	54086.61914
782	54086.48074
783	54086.36962
784	54085.64039
785	54085.36714
786	54084.7241
787	54084.04798
788	54083.57598
789	54083.42747
790	54083.29603
791	54082.8788
792	54082.66421
793	54082.40406
794	54081.61323
795	54081.50381
796	54081.26701
797	54081.29383
798	54080.41264
799	54080.08016
800	54079.99827
801	54079.35156
802	54078.84057
803	54078.79374
804	54078.74701
805	54078.75774
806	54078.53631
807	54078.5124
808	54078.28717
809	54077.50419
810	54077.23298
811	54076.81369
812	54076.5961
813	54076.40954
814	54076.26796
815	54076.1078
816	54075.52329
817	54075.28717
818	54075.12805
819	54074.32117
820	54074.1092
821	54074.02865
822	54073.19613
823	54072.85519
824	54072.23416
825	54071.55922
826	54071.10506
827	54070.25611
828	54069.56844
829	54068.76699
830	54068.2528
831	54067.7506
832	54067.5898
833	54067.06671
834	54066.91172
835	54066.40777
836	54065.85245
837	54065.14344
838	54064.37257
839	54064.22454
840	54064.17593
841	54063.76247
842	54063.69969
843	54063.18108
844	54062.59951
845	54062.36439
846	54061.96938
847	54061.7188
848	54061.37783
849	54061.30195
850	54061.03842
851	54060.34487
852	54060.19173
853	54059.4219
854	54059.33799
855	54058.88575
856	54058.65992
857	54058.04523
858	54057.81509
859	54057.20874
860	54056.75525
861	54056.40344
862	54055.95638
863	54055.67401
864	54055.36727
865	54055.23159
866	54055.31247
867	54054.80346
868	54054.01854
869	54053.86857
870	54053.71898
871	54053.27286
872	54053.00135
873	54052.3247
874	54052.23269
875	54051.65305
876	54051.5829
877	54050.80457
878	54050.65559
879	54050.45874
880	54049.81724
881	54049.31517
882	54048.72668
883	54048.23813
884	54047.57284
885	54047.48189
886	54047.36394
887	54047.15396
888	54047.06049
889	54046.45154
890	54046.17976
891	54045.99301
892	54045.96953
893	54045.24151
894	54045.09929
895	54045.1134
896	54044.76169
897	54044.33175
898	54043.89213
899	54043.69538
900	54043.37138
901	54043.1704
902	54043.06006
903	54042.82617
904	54042.47463
905	54041.81219
906	54041.73092
907	54041.40136
908	54040.76486
909	54039.94846
910	54039.91048
911	54039.68515
912	54039.10349
913	54038.37301
914	54037.75208
915	54037.19755
916	54037.22548
917	54036.64712
918	54035.86322
919	54035.80755
920	54035.22327
921	54035.16358
922	54035.12777
923	54034.96232
924	54034.85926
925	54034.34338
926	54033.97535
927	54033.46928
928	54033.42936
929	54033.25257
930	54033.12696
931	54033.07178
932	54032.47655
933	54032.51523
934	54032.03614
935	54032.02825
936	54031.75042
937	54031.6239
938	54031.09258
939	54030.30948
940	54030.18689
941	54029.93632
942	54029.13067
943	54028.95572
944	54028.41553
945	54027.78536
946	54027.74746
947	54027.26037
948	54026.88994
949	54026.15514
950	54026.22197
951	54025.61346
952	54025.52319
953	54024.90861
954	54024.76168
955	54024.69205
956	54024.27206
957	54023.74117
958	54023.15629
959	54022.81118
960	54022.80483
961	54022.32628
962	54021.82134
963	54021.68622
964	54021.4585
965	54020.97393
966	54020.79887
967	54020.52099
968	54019.7033
969	54019.61696
970	54019.25606
971	54018.78245
972	54018.30692
973	54018.22267
974	54017.4247
975	54017.24815
976	54016.65634
977	54016.22483
978	54016.2328
979	54015.6341
980	54015.41486
981	54014.91211
982	54014.43657
983	54014.29999
984	54014.10335
985	54013.87753
986	54013.12248
987	54012.4429
988	54012.24592
989	54011.67866
990	54010.99729
991	54010.51519
992	54010.0385
993	54010.00857
994	54009.58655
995	54009.56139
996	54009.18524
997	54008.90253
998	54008.55266
999	54008.1151
